"Tanggal","Jenis.Produk","Jumlah.Order","Harga","Total","Bulan","Tahun"
2023-07-05,"CraftLaminasi290",2000,900,1800000,7,2023
2023-07-07,"Dupleks310",2000,2200,4400000,7,2023
2023-07-07,"Dupleks310",1000,1450,1450000,7,2023
2023-07-07,"Ivory230",1000,1200,1200000,7,2023
2023-07-07,"Ivory230",1000,950,950000,7,2023
2023-07-07,"Kinstruk150",1000,1000,1000000,7,2023
2023-07-08,"CraftLaminasi290",3000,800,2400000,7,2023
2023-07-08,"CraftLaminasi290",2000,875,1750000,7,2023
2023-07-08,"GreaseProof",3500,250,875000,7,2023
2023-07-09,"GreaseProof",1000,300,300000,7,2023
2023-07-10,"Dupleks270",3000,1800,5400000,7,2023
2023-07-11,"Dupleks270",3000,1400,4200000,7,2023
2023-07-11,"Dupleks310",1000,2200,2200000,7,2023
2023-07-12,"Ivory270",1000,1300,1300000,7,2023
2023-07-12,"Dupleks350",2000,1600,3200000,7,2023
2023-07-12,"CraftBiasa310",1000,1700,1700000,7,2023
2023-07-12,"Ivory230",1000,1200,1200000,7,2023
2023-07-12,"Dupleks350",2000,1500,3000000,7,2023
2023-07-13,"Dupleks310",2000,1900,3800000,7,2023
2023-07-13,"GreaseProof",1000,300,300000,7,2023
2023-07-14,"Craft310",1000,1200,1200000,7,2023
2023-07-14,"KertasStiker",6,15000,90000,7,2023
2023-07-14,"Foodpak260",1000,1700,1700000,7,2023
2023-07-14,"Ivory230GC",1000,1700,1700000,7,2023
2023-07-15,"FoodpakMatte245",3000,1500,4500000,7,2023
2023-07-15,"Ivory230",1000,1350,1350000,7,2023
2023-07-16,"Ivory230",1000,1500,1500000,7,2023
2023-07-16,"Dupleks270Laminating",1000,2000,2000000,7,2023
2023-07-16,"CraftLaminasi290",5000,1500,7500000,7,2023
2023-07-17,"Ivory230",1000,1600,1600000,7,2023
2023-07-17,"Ivory230",1000,1600,1600000,7,2023
2023-07-17,"Kinstruk250",1000,1200,1200000,7,2023
2023-07-17,"KertasStiker",5,15000,75000,7,2023
2023-07-18,"GreaseProof",1000,300,300000,7,2023
2023-07-19,"HVSHIJAU",20000,250,5000000,7,2023
2023-07-19,"Craft270",1000,1400,1400000,7,2023
2023-07-19,"Foodpak245",1000,1500,1500000,7,2023
2023-07-20,"CraftLaminasi",500,1700,850000,7,2023
2023-07-20,"CraftLaminasi",1000,1400,1400000,7,2023
2023-07-20,"Dupleks310",1000,1900,1900000,7,2023
2023-07-20,"PaperCup8Oz",1000,1850,1850000,7,2023
2023-07-20,"Ivory250",1000,1500,1500000,7,2023
2023-07-20,"Ivory250",1000,1100,1100000,7,2023
2023-07-20,"Ivory250",2000,1400,2800000,7,2023
2023-07-20,"CraftLaminasi8",1000,1200,1200000,7,2023
2023-07-20,"GreaseProof",1000,300,300000,7,2023
2023-07-21,"Ivory230",1000,1700,1700000,7,2023
2023-07-21,"Ivory250",1000,1900,1900000,7,2023
2023-07-21,"FoodpakMatte295",1000,3500,3500000,7,2023
2023-07-22,"Ivory250",2000,700,1400000,7,2023
2023-07-22,"Ivory245Matte",1000,1800,1800000,7,2023
2023-07-23,"CraftLaminasi290",1000,950,950000,7,2023
2023-07-24,"Dupleks310",2000,1900,3800000,7,2023
2023-07-25,"Ivory230",1000,1500,1500000,7,2023
2023-07-25,"Ivory300",2000,1350,2700000,7,2023
2023-07-25,"Craft290Foodpak",1000,1200,1200000,7,2023
2023-07-25,"Foodpak260Glossy",5000,1450,7250000,7,2023
2023-07-26,"Ivory300",1000,3200,3200000,7,2023
2023-07-27,"GreaseProof",3500,250,875000,7,2023
2023-07-27,"Dupleks350",2000,1500,3000000,7,2023
2023-07-27,"Foodpak260Matte",3000,1000,3000000,7,2023
2023-07-27,"Foodpak245",1000,1000,1000000,7,2023
